# ============================================================
# Ancestry owns FACIAL STRUCTURE only: regional features, eye SHAPE, cheekbones/face,
# nose and lips. NO hair and NO skin tone.
#   - Hair (texture/length/color) is owned by the Hair wildcards.
#   - Skin / coloration is owned by the Skin Tone axis (skintones) and colored-skin metatypes.
# The demonym supplies default colouring on its own; the axes override it when set. Dropping
# hair/skin here removes the old conflicts (ancestry "straight hair" vs Hair Type; ancestry
# skin vs the Skin Tone axis and colored metatypes). Owner-confirmed 2026-09-07: the explicit
# facial-structure list is required (demonym alone under-delivers on photoreal checkpoints).
# Format: Demonym, <regional> features, eyes, cheekbones/face, nose, lips.
# ============================================================

# EAST ASIAN
Japanese, warm-toned East Asian features, monolid eyes, high cheekbones, a small straight nose, soft rounded lips
Korean, warm-toned East Asian features, monolid eyes, flat wide cheekbones, a straight nose, a small full mouth
Chinese, warm-toned East Asian features, monolid eyes, a softly rounded face, a small nose, delicate lips

# SOUTHEAST ASIAN
Vietnamese, Southeast Asian features, softly monolid eyes, a rounded face, a small rounded nose, soft full lips
Thai, Southeast Asian features, almond eyes, a rounded face, a small broad nose, softly full lips
Filipino, Southeast Asian features, wide almond eyes, a rounded face, a broad flat nose, full lips

# CENTRAL ASIAN
Mongolian, Central Asian steppe features, narrow monolid eyes, broad high cheekbones, a low-bridged nose, soft lips
Kazakh, Central Asian features, monolid eyes, broad flat cheekbones, a small nose, a small mouth

# SOUTH ASIAN
Indian, South Asian features, large deep-set almond eyes, an oval face, a defined straight nose, full lips
Sri Lankan, South Asian features, large round eyes, angular cheekbones, a broad nose, softly full lips

# MIDDLE EASTERN / NORTH AFRICAN
Arab, Middle Eastern features, almond eyes, a strong jaw, a defined aquiline nose, full lips
Persian, Middle Eastern features, large almond eyes, an oval face, a straight prominent nose, sharply defined lips
Turkish, Middle Eastern features, almond eyes, softly defined cheekbones, an aquiline nose, soft full lips
Egyptian, North African features, almond eyes, a defined jaw, a straight nose, heart-shaped lips

# MAGHREBI (NORTH AFRICAN)
Berber, Maghrebi North African features, deep-set eyes, sharp cheekbones, a straight defined nose, defined lips

# EUROPEAN
French, European features, almond eyes, a soft oval face, a straight nose, soft lips
Italian, Mediterranean European features, almond eyes, a strong jaw, a straight Roman nose, full lips
Spanish, Mediterranean European features, almond eyes, an oval face, a refined straight nose, softly defined lips
German, Northern European features, wide-set eyes, a square jaw, a straight nose, thin lips
Greek, Mediterranean European features, almond eyes, strong cheekbones, a straight Roman nose, well-shaped full lips
Slavic, Eastern European features, wide-set eyes, high sharp cheekbones, a straight nose, firm defined lips
Scandinavian, Nordic features, wide-set eyes, angular features, a narrow straight nose, thin lips
Russian, Eastern European features, hooded eyes, broad cheekbones, a straight nose, a soft small mouth

# AFRICAN
West African, sub-Saharan African features, wide eyes, broad cheekbones, a broad nose, full wide lips
East African, East African features, large almond eyes, sculpted cheekbones, a narrow straight nose, full lips
Ethiopian, East African features, large expressive eyes, a narrow face, a narrow nose, softly full lips
Nigerian, West African features, wide eyes, a broad face, a broad flat nose, broad full lips

# AFRO-CARIBBEAN / AFRO-LATINO
Jamaican, Afro-Caribbean features, expressive eyes, broad cheekbones, a broad nose, full lips
Afro-Brazilian, Afro-Latino features, almond eyes, full cheeks, a softly broad nose, full soft lips

# LATIN / INDIGENOUS AMERICAN
Latina, Latin American mestiza features, almond eyes, a rounded face, a straight nose, soft full lips
Native American, Indigenous American features, almond eyes, high broad cheekbones, an aquiline nose, wide lips
Andean, Indigenous South American features, almond eyes, broad flat cheekbones, a straight nose, a wide full mouth

# ARCTIC / CIRCUMPOLAR
Inuit, Arctic Indigenous features, narrow monolid eyes, broad round cheekbones, a small flat nose, full lips

# PACIFIC
Pacific Islander, Polynesian features, wide eyes, a broad soft face, a broad nose, full wide lips

# MELANESIAN
Papua New Guinean, Melanesian features, wide eyes, broad cheekbones, a broad nose, full lips
Fijian, Melanesian features, wide eyes, a strong brow, a broad nose, broad full lips

# ABORIGINAL AUSTRALIAN
Aboriginal Australian, Aboriginal Australian features, deep-set eyes, a strong brow, a broad nose, full lips

# AMERICAN HERITAGE (admixture populations)
African American, African American features, expressive eyes, sculpted cheekbones, a broad nose, full lips
Chicana, Mexican-American mestiza features, almond eyes, a softly rounded face, a straight nose, full lips
Louisiana Creole, Creole admixture features, large eyes, gently rounded cheeks, a softly defined nose, softly full lips
Puerto Rican, Caribbean Latino admixture features, expressive eyes, a full oval face, a rounded nose, soft lips
Hawaiian Hapa, mixed Asian-Pacific-European features, soft almond eyes, soft rounded cheeks, a small rounded nose, soft full lips
Appalachian, Scots-Irish and Melungeon admixture features, striking eyes, a narrow angular face, a straight nose, thin lips

# MIXED
Mixed Heritage, blended multi-ethnic features, striking eyes, a balanced oval face, a softly defined nose, soft full lips
